,importance,feature,round
fixation_PupilSize_min_sum,0.0563249650548082,fixation_PupilSize_min_sum,5;7
non-horizontal saccade_sum,0.0519211305080752,non-horizontal saccade_sum,5;7
fixation_PupilSize_mean_sum,0.0394429008408503,fixation_PupilSize_mean_sum,5;7
fixation_PupilSize_median_sum,0.0365867430404708,fixation_PupilSize_median_sum,5;7
Sub-scanAverageWeightedDegree_sum,0.035317626324524,Sub-scanAverageWeightedDegree_sum,5;7
fixation_PupilPeaksAmplitude_mean_sum,0.0264909230358523,fixation_PupilPeaksAmplitude_mean_sum,5;7
Sub-scanNUniqueVisits_sum,0.0259431784376986,Sub-scanNUniqueVisits_sum,5;7
fixation_PupilPeaksAmplitude_min_sum,0.0238018576272047,fixation_PupilPeaksAmplitude_min_sum,5;7
fixation_PupilPeaksAmplitude_max_sum,0.0219574044663701,fixation_PupilPeaksAmplitude_max_sum,5;7
Sub-scanAverageWeightedDegree_max,0.0162973848214055,Sub-scanAverageWeightedDegree_max,5;7
fixation_PupilPeaksAmplitude_sum_sum,0.0155167774516473,fixation_PupilPeaksAmplitude_sum_sum,5;7
fixation_PupilSize_sum_sum,0.007132751538719,fixation_PupilSize_sum_sum,5;7
fixation_PupilPeaksAmplitude_median_sum,0.0038097782699389,fixation_PupilPeaksAmplitude_median_sum,5;7
Sub-scanDensity_sum,0.0,Sub-scanDensity_sum,5;7
fixation_PupilSize_std_sum,0.3105252814193182,fixation_PupilSize_std_sum,6;7
fixation_PupilSize_max_sum,0.0789723088771947,fixation_PupilSize_max_sum,6;7
Sub-scanDensity_std,0.0700819066190666,Sub-scanDensity_std,6;7
saccadic amplitude_sum,0.0679900375767043,saccadic amplitude_sum,6;7
fixation_PupilSize_min_sum,0.058356934905994,fixation_PupilSize_min_sum,6;7
fixation_PupilPeaksAmplitude_std_sum,0.0464448535386457,fixation_PupilPeaksAmplitude_std_sum,6;7
horizontal saccade_sum,0.0425702846102196,horizontal saccade_sum,6;7
fixation_PupilPeaksAmplitude_sum_sum,0.041838616067971,fixation_PupilPeaksAmplitude_sum_sum,6;7
fixation_PupilSize_median_sum,0.041550290113041,fixation_PupilSize_median_sum,6;7
Fixation Duration_sum,0.0335495180348051,Fixation Duration_sum,6;7
fixation_PupilPeaksAmplitude_mean_sum,0.0325108486452433,fixation_PupilPeaksAmplitude_mean_sum,6;7
horizontal saccade_std,0.0320166820731895,horizontal saccade_std,6;7
non-horizontal saccade_sum,0.0302520487190983,non-horizontal saccade_sum,6;7
fixation_NumberOfPupilPeaks_sum,0.024382966535809,fixation_NumberOfPupilPeaks_sum,6;7
Sub-scanAverageWeightedDegree_sum,0.0218466458268179,Sub-scanAverageWeightedDegree_sum,6;7
fixation_PupilPeaksAmplitude_max_sum,0.0182724238433709,fixation_PupilPeaksAmplitude_max_sum,6;7
Fixation Count_sum,0.0161158464344625,Fixation Count_sum,6;7
Sub-scanDensity_sum,0.0153915428418433,Sub-scanDensity_sum,6;7
fixation_PupilPeaksAmplitude_median_sum,0.008752328120446,fixation_PupilPeaksAmplitude_median_sum,6;7
fixation_PupilSize_sum_sum,0.0085786351967581,fixation_PupilSize_sum_sum,6;7
fixation_PupilPeaksAmplitude_sum_sum,0.283822692312914,fixation_PupilPeaksAmplitude_sum_sum,7;7
fixation_NumberOfPupilPeaks_sum,0.0930062199496571,fixation_NumberOfPupilPeaks_sum,7;7
fixation_PupilPeaksAmplitude_min_sum,0.0764660434181409,fixation_PupilPeaksAmplitude_min_sum,7;7
horizontal saccade_std,0.0738015830907892,horizontal saccade_std,7;7
fixation_PupilSize_min_sum,0.0615888461268667,fixation_PupilSize_min_sum,7;7
fixation_PupilSize_std_sum,0.0613783473315331,fixation_PupilSize_std_sum,7;7
Sub-scanEntropy_sum,0.0510179479683605,Sub-scanEntropy_sum,7;7
Sub-scanDensity_sum,0.043941653523054,Sub-scanDensity_sum,7;7
fixation_PupilPeaksAmplitude_std_sum,0.0339600290984087,fixation_PupilPeaksAmplitude_std_sum,7;7
horizontal saccade_sum,0.0338535393106457,horizontal saccade_sum,7;7
Sub-scanAverageWeightedDegree_sum,0.0313697523152936,Sub-scanAverageWeightedDegree_sum,7;7
fixation_PupilPeaksAmplitude_max_sum,0.029471415953157,fixation_PupilPeaksAmplitude_max_sum,7;7
fixation_PupilSize_max_sum,0.0233840245583416,fixation_PupilSize_max_sum,7;7
fixation_PupilSize_median_sum,0.0209895818095917,fixation_PupilSize_median_sum,7;7
fixation_PupilPeaksAmplitude_mean_sum,0.0202771090842178,fixation_PupilPeaksAmplitude_mean_sum,7;7
Fixation Count_sum,0.0172788520153533,Fixation Count_sum,7;7
Sub-scanNUniqueVisits_sum,0.0135554240978889,Sub-scanNUniqueVisits_sum,7;7
non-horizontal saccade_sum,0.0134493420009513,non-horizontal saccade_sum,7;7
fixation_PupilPeaksAmplitude_median_sum,0.0117125562808851,fixation_PupilPeaksAmplitude_median_sum,7;7
Sub-scanNtranstions_sum,0.0056750397539488,Sub-scanNtranstions_sum,7;7
fixation_PupilSize_max_sum,0.2599822960821769,fixation_PupilSize_max_sum,8;7
fixation_PupilPeaksAmplitude_sum_sum,0.0992566002753017,fixation_PupilPeaksAmplitude_sum_sum,8;7
